,longitude,latitude,adt,ugos,vgos,sla,ugosa,vgosa,Born,Dead,Errcount,Longevity,added,addeda,multiplied,multiplieda,substracted,substracteda,deducted,deducteda,exp1a,exp2a,exp3a,exp4a,exp1,exp2,exp3,exp4
362797,310.625,1.875,0.5584,2.8509,-4.7763,0.0099,1.8216,-4.6145000000000005,2007-02-03,2007-02-20 00:00:00,0,17,7.6272,6.436100000000001,13.616753670000001,8.405773200000002,0.5968846178003895,0.3947556615017878,-1.9253999999999998,-2.7929000000000004,27.23343579,14.063300000000002,16.16590808,114.45934307028767,27.23343579,-4.7183,-43.878513000000005,114.45934307028767
368930,310.125,2.125,0.7356,1.4151,-4.9465,0.1971,0.6126,-4.5829,2007-02-12,2007-03-11 00:00:00,0,27,6.3616,5.195500000000001,6.99979215,2.8074845400000004,0.28608106742140904,0.133670819786598,-3.5314000000000005,-3.9703000000000004,23.536205110000004,11.557100000000002,9.0282259,19.651808244338362,23.536205110000004,-7.5017000000000005,-19.322764380000006,19.651808244338362
369077,310.125,1.875,0.7617,-0.1014,-5.2713,0.1961,-1.0101,-4.863300000000001,2007-02-12,2007-03-11 00:00:00,0,27,5.3727,5.8734,0.53450982,4.9124193300000005,0.019236241534346367,0.20769847634322372,-5.1699,-3.8532000000000006,25.738337430000005,11.2461,10.28924013,2.6257363718428213,25.738337430000005,-11.2461,11.2646079,2.6257363718428213
369353,310.125,2.375,0.6761,2.7886,-4.8395,0.1601,2.0532,-4.5280000000000005,2007-02-11,2007-03-12 00:00:00,0,29,7.6281,6.581200000000001,13.4954297,9.2968896,0.5762165512966215,0.45344522968197876,-2.0509,-2.4748000000000006,27.638809520000002,14.209299999999999,17.2530614,125.46552002546115,27.638809520000002,-4.5257000000000005,-45.3555615,125.46552002546115
369355,310.625,1.625,0.6312,5.6342,-1.6583,0.0514,4.5248,-1.4173,2007-02-23,2007-03-12 00:00:00,0,17,7.2925,5.9421,9.34319386,6.41299904,3.397575830669963,3.1925492132928808,3.9758999999999998,3.1075,27.84393675,13.234599999999999,14.55497584,59.917893254713896,27.84393675,7.083399999999998,-31.245020399999998,59.917893254713896
369610,309.875,2.125,0.4133,0.2186,4.4254,-0.1259,-0.4859,4.8158,2006-12-22,2007-03-12 00:00:00,0,80,4.644,5.3017,0.9673924399999999,2.3399972200000003,0.04939666470827496,0.10089704721956891,-4.206799999999999,-4.3299,21.41805906,9.5085,7.1847018600000006,2.263695620249017,21.205623579999997,8.9739,-2.4701727599999996,-2.263695620249017
369611,309.875,2.375,0.4174,-0.333,3.9745,-0.106,-1.0058,4.3691,2006-12-23,2007-03-12 00:00:00,0,79,4.3075,5.3749,1.3235085,4.394440780000001,0.08378412378915588,0.23020759424137693,-3.6414999999999997,-3.3633000000000006,17.69991935,9.682400000000001,8.699652100000002,5.816079725076632,17.69991935,7.0048,-11.17041168,5.816079725076632
373929,310.375,1.875,0.6206,0.5243,-5.0178,0.0653,-0.4906,-4.7427,2007-02-11,2007-03-26 00:00:00,0,43,5.5421000000000005,5.2333,2.63083254,2.32676862,0.10448802263940371,0.10344318637063275,-4.4935,-4.2521,24.055141640000002,9.7942,7.72873268,6.121338598546895,23.540698480000003,-9.7268,-0.3289288500000001,-6.121338598546895
374340,310.625,2.125,0.3945,0.6716000000000001,-5.0032000000000005,-0.1291,-0.193,-4.8986,2007-01-04,2007-03-27 00:00:00,0,82,5.6748,5.0916,3.360149120000001,0.9454298,0.13423409018228333,0.03939901196260156,-4.331600000000001,-4.7056000000000004,24.638294320000004,10.380400000000002,6.5358176,3.176785110491777,24.379056720000005,-9.423200000000001,-4.7390014800000015,-3.176785110491777
374381,310.125,1.875,0.7479,-0.7477,3.8814,0.1823,-1.6564,4.2894000000000005,2007-03-15,2007-03-27 00:00:00,0,12,4.6291,5.9458,2.9021227800000005,7.104962160000001,0.19263667748750452,0.3861612346715158,-3.1337,-2.6330000000000005,17.887367440000002,10.5749,11.46625096,20.61947253557401,17.887367440000002,5.7667,-19.64342028,20.61947253557401
374650,310.375,1.625,0.6339,-0.3266,-4.8641000000000005,0.0449,-1.4469,-4.5551,2007-02-10,2007-03-28 00:00:00,0,46,5.1907000000000005,6.002000000000001,1.5886150600000002,6.590774190000001,0.06714500113073332,0.317643959517903,-4.5375000000000005,-3.1082,22.629019450000005,11.1927,11.919566290000002,10.470203135293305,22.629019450000005,-11.192700000000002,16.7049512,10.470203135293305
374964,310.125,2.125,0.6933,-0.1819,3.9672,0.1549,-0.9844,4.330900000000001,2007-03-16,2007-03-29 00:00:00,0,13,4.1491,5.315300000000001,0.72163368,4.263337960000001,0.04585097801976205,0.22729686670207114,-3.7853,-3.3465000000000007,17.36060884,9.464400000000001,8.41811168,3.0765682611584935,17.36060884,7.1318,-9.678074030000003,3.0765682611584935
376121,309.875,2.125,0.6098,-0.7152000000000001,4.0846,0.0705,-1.4197,4.4749,2007-03-15,2007-04-01 00:00:00,0,17,4.7998,5.8946,2.9213059200000004,6.3530155299999995,0.17509670469568625,0.31725848622315583,-3.3693999999999997,-3.0552,19.29354598,10.6944,10.98900662,18.559101877640934,19.29354598,6.4246,-18.27367655,18.559101877640934
378208,310.875,2.375,0.6233000000000001,3.3131000000000004,4.1279,0.1189,2.6988000000000003,4.1001,2005-10-02,2007-04-07 00:00:00,0,552,7.441000000000001,6.798900000000001,13.676145490000003,11.065349880000001,0.8026114973715449,0.6582278481012659,-0.8148,-1.4013,25.866197070000005,14.239900000000002,18.553576520000004,151.3313348566341,25.866197070000005,14.239900000000002,49.46591320000002,151.3313348566341
378469,310.625,2.625,0.4657,2.9795000000000003,4.2138,-0.0267,2.4803,4.1939,2005-10-03,2007-04-08 00:00:00,0,552,7.193300000000001,6.674200000000001,12.5550171,10.402130170000001,0.7070814941383076,0.5914065666801783,-1.2342999999999997,-1.7136,25.06230967,13.8675,17.62488814,130.5989221607759,25.06230967,13.8675,45.90436046000001,130.5989221607759
397060,310.375,1.875,0.9265,2.7941000000000003,4.2538,0.3712,1.7792,4.5289,2007-03-29,2007-05-20 00:00:00,0,52,7.0479,6.3081,11.885542580000001,8.05781888,0.6568479947341201,0.39285477709819155,-1.4596999999999998,-2.7497000000000003,24.236297540000002,13.356,14.89136096,95.77154940016791,24.236297540000002,13.356,40.16592191,95.77154940016791
397876,310.625,1.875,0.4694,5.0396,-1.494,-0.079,4.0103,-1.3322,2007-02-23,2007-05-21 00:00:00,0,87,6.5336,5.3425,7.5291624,5.34252166,3.3732262382864793,3.010283741180003,3.5456000000000003,2.6780999999999997,22.200614679999997,11.876100000000001,12.3631882,40.22471320365758,22.200614679999997,6.223700000000001,-25.576827380000005,40.22471320365758
397877,310.625,1.625,0.796,-3.4325,-1.7045,0.2162,-4.5419,-1.4635,2007-03-13,2007-05-21 00:00:00,0,69,5.1370000000000005,6.0054,5.8506962499999995,6.64707065,2.013787034320915,3.103450632046464,1.7280000000000002,3.0784000000000002,18.0846075,11.1424,12.63766855,38.889991325440064,18.0846075,-11.1424,25.262899200000003,38.889991325440064
398057,310.375,2.125,0.5465,1.975,-5.1066,0.0176,1.1149,-4.873200000000001,2007-02-09,2007-05-21 00:00:00,0,101,7.0816,5.988100000000001,10.085535,5.4331306800000005,0.3867543962714918,0.22878190921776242,-3.1316,-3.7583000000000006,27.087410620000004,13.069700000000001,12.54154834,54.79602963271381,27.087410620000004,-6.889900000000001,-30.836584020000004,54.79602963271381
398320,310.375,1.625,0.9617,0.2252,4.0158000000000005,0.3727,-0.8951,4.324800000000001,2007-03-29,2007-05-22 00:00:00,0,54,4.2410000000000005,5.219900000000001,0.9043581600000001,3.8711284800000008,0.05607848996463967,0.2069691083980762,-3.7906000000000004,-3.4297000000000004,17.569108360000005,9.010500000000002,8.144542580000001,3.500886629296398,17.165955320000005,7.670700000000001,-5.587367940000001,-3.500886629296398
398471,310.125,2.125,0.8503000000000001,1.9687,3.605,0.3119,1.1662,3.9686,2007-04-01,2007-05-22 00:00:00,0,51,5.5737,5.1348,7.0971635,4.6281813199999995,0.5461026352288488,0.2938567756891599,-1.6363,-2.8024,16.60270094,10.7085,10.141451,32.84695953568581,16.60270094,10.7085,23.742478639999998,32.84695953568581
399311,310.375,1.375,0.6419,-2.2621,-3.8661,0.0165,-3.2837,-3.5570000000000004,2007-02-08,2007-05-24 00:00:00,0,105,6.1282,6.8407,8.74550481,11.680120900000002,0.5851116111843978,0.923165588979477,-1.6039999999999996,-0.2733000000000003,21.179775470000003,12.9689,18.514212569999998,102.14855351233155,21.179775470000003,-12.9689,41.16702798,102.14855351233155
399873,310.125,2.375,0.8259000000000001,-0.1401,4.5333000000000006,0.3099,-0.8755000000000001,4.8448,2007-03-14,2007-05-25 00:00:00,0,72,4.673400000000001,5.7203,0.6351153300000001,4.241622400000001,0.030904639004698562,0.180709214002642,-4.3932,-3.9693,22.085589390000003,10.393699999999999,8.95380415,2.6939194103113926,22.085589390000003,8.3625,-9.524398360000001,2.6939194103113926
400087,310.125,1.875,0.8815000000000001,0.6382,4.3378000000000005,0.3159,-0.2705,4.7458,2007-04-01,2007-05-25 00:00:00,0,54,4.976000000000001,5.0163,2.7683839600000004,1.2837389000000001,0.1471252708746369,0.056997766446120784,-3.6996000000000007,-4.4753,20.758964340000002,9.4513,6.5573749,3.5538821795880446,20.413698140000005,9.4513,3.34003972,-3.5538821795880446
429505,310.625,1.875,0.6093000000000001,-0.2999,4.565,0.0609,-1.3292000000000002,4.7268,2007-05-25,2007-07-14 00:00:00,0,50,4.8649000000000004,6.056,1.3690435,6.282862560000001,0.06569550930996713,0.28120504358128123,-4.2651,-3.3975999999999997,21.97646908,10.9209,11.094498000000002,8.60151214916136,21.97646908,7.6627,-15.137271380000003,8.60151214916136
429739,310.625,2.375,0.5936,1.1103,4.8889000000000005,0.0884,0.429,4.9303,2007-07-13,2007-07-15 00:00:00,0,2,5.9992,5.3593,5.428145670000001,2.1150987,0.22710630203113175,0.0870129606717644,-3.7786000000000004,-4.5013,24.58006237,11.358500000000001,8.1379381,11.48106385002763,24.58006237,11.3585,15.114694560000002,11.48106385002763
429842,310.875,1.875,0.8139000000000001,3.4543000000000004,3.9987,0.2713,2.5392,4.1408000000000005,2006-03-14,2007-07-15 00:00:00,0,488,7.453,6.680000000000001,13.812709410000002,10.514319360000002,0.863855753119764,0.6132148377125193,-0.5443999999999996,-1.6016000000000004,25.32897552,14.133000000000001,17.748599040000002,145.23123796361722,25.32897552,14.133000000000001,48.784093250000005,145.23123796361722
429843,310.875,1.625,0.644,5.7556,-1.0889,0.0751,4.7954,-0.8191,2007-02-22,2007-07-15 00:00:00,0,143,6.8445,5.6145,6.26727284,3.92791214,5.28570116631463,5.854474423147356,4.6667000000000005,3.9762999999999997,28.49232223,12.459,11.79641106,24.617297072928277,28.49232223,8.642999999999999,-20.131308,24.617297072928277
430196,310.625,1.625,0.651,0.3577,4.4475,0.0712,-0.7518,4.6886,2007-05-26,2007-07-16 00:00:00,0,51,4.8052,5.4404,1.5908707500000001,3.52488948,0.08042720629567174,0.16034637205135863,-4.089799999999999,-3.9368,21.12146736,9.530199999999999,8.3899305,5.6076435707147105,20.58362964,8.742,-3.6005370099999996,-5.6076435707147105
430642,310.875,1.375,0.5253,1.4775,4.2934,-0.0716,0.5966,4.6766000000000005,2006-11-14,2007-07-17 00:00:00,0,245,5.7709,5.273200000000001,6.3434985,2.7900595600000004,0.34413285507989005,0.12757131249198134,-2.8159,-4.08,20.959990940000004,11.0441,8.71554244,17.698738633770663,20.959990940000004,11.0441,18.604677000000002,17.698738633770663
430680,310.625,1.375,0.5880000000000001,1.7338,4.591,-0.025,0.7213,4.9156,2007-05-24,2007-07-17 00:00:00,0,54,6.3248,5.636900000000001,7.959875800000001,3.5456222800000003,0.37765192768460026,0.14673691919602896,-2.8572,-4.1943,23.818109540000005,11.9617,9.9608883,28.222712982512828,23.818109540000005,11.9617,23.33965366,28.222712982512828
