adt,ugos,vgos,sla,ugosa,vgosa,radius,radius_glob
0.3957,-0.2297,-0.4617,0.171,-0.2251,-0.4673,0.6914,0.6924
0.6425000000000001,0.5482,4.1185,0.094,-0.4811,4.2803,4.6667000000000005,4.7614
0.1176,-0.4686,0.285,-0.0449,-0.0133,-0.0693,0.7536,0.0826
0.1691,-0.0983,-4.6004000000000005,-0.3701,-0.8028000000000001,-4.210100000000001,4.6987000000000005,5.012900000000001
0.5902000000000001,1.2159,4.560700000000001,0.035,0.201,4.8358,5.7766,5.0368
0.6594,1.3271000000000002,4.1309000000000005,0.1359,0.4625,4.2354,5.458,4.697900000000001
0.1483,-0.0728,-0.6455000000000001,0.1286,-0.0086,-0.7105,0.7183,0.7191000000000001
1.0077,0.8524,4.6325,0.47,0.2762,4.9261,5.4849000000000006,5.2023
0.6547000000000001,-0.3662,0.4826,-0.0447,-0.3738,0.3846,0.8488,0.7584
0.5028,0.3891,4.3131,-0.0261,-0.471,4.5464,4.7022,5.0174
0.4043,-0.2724,-0.6667000000000001,0.272,-0.0553,-0.2295,0.9391,0.2848
0.5035000000000001,2.6443000000000003,-4.2845,0.005,2.0138000000000003,-4.0259,6.928800000000001,6.0397
0.625,4.4858,1.8395,0.0698,3.4709000000000003,2.1146000000000003,6.3253,5.585500000000001
0.7038,-0.2457,0.4184,0.0037,-0.287,0.3288,0.6641,0.6157999999999999
0.4839,0.3581,4.4067,-0.0213,-0.3232,4.448,4.7648,4.7712
0.4189,-0.5581,0.2076,0.1286,-0.2504,0.0025,0.7657,0.2529
0.7465,1.5627,4.484100000000001,0.1575,0.4424,4.7931,6.046800000000001,5.2355
0.3116,-1.9478,-4.2903,-0.2044,-2.6832000000000003,-3.9788,6.2381,6.662000000000001
0.0764,-0.1719,0.7584000000000001,-0.0678,-0.0749,-0.0407,0.9303,0.1156
0.7925000000000001,3.4346,-4.4927,0.2848,2.8254,-4.0766,7.927300000000001,6.902
-0.2152,-0.0637,0.5407000000000001,0.1135,-0.004,-0.0484,0.6044,0.0524
0.128,-0.0817,0.7592,0.0429,0.0946,0.4258,0.8409,0.5204
0.3367,-2.7550000000000003,-2.7342,-0.1922,-3.6151,-2.5008,5.4892,6.1159
0.5183,-0.8371000000000001,4.6494,0.0245,-1.4003,4.746700000000001,5.4865,6.147
0.4762,1.1337000000000002,4.4613000000000005,-0.0473,0.269,4.5659,5.595000000000001,4.8349
0.5167,2.8653,3.8626,-0.0488,1.9566,4.2706,6.7279,6.2272
0.9079,0.2989,0.544,0.2057,0.2964,0.3537,0.8429,0.6501
0.4398,-2.9397,-2.6146000000000003,-0.1155,-3.9545,-2.3395,5.5543000000000005,6.2940000000000005
0.8922,0.2959,0.522,0.1901,0.2937,0.3642,0.8179000000000001,0.6579
0.6326,3.026,2.8567,0.067,2.1173,3.2647,5.8827,5.382
0.744,0.0195,1.1622,0.0419,0.0171,0.9719,1.1817,0.989
0.8032,0.2216,-0.6092000000000001,0.103,0.1803,-0.6989000000000001,0.8308000000000001,0.8792000000000001
0.6933,-0.1819,3.9672,0.1549,-0.9844,4.330900000000001,4.1491,5.315300000000001
0.7062,-0.1983,0.7618,0.0051,-0.2007,0.6351,0.9601,0.8358
0.3905,-0.2608,0.3553,0.1487,0.0162,-0.0504,0.6161,0.0665999999999999
0.7901,0.105,3.1487000000000003,0.2524,-0.4712,3.4423000000000004,3.2537000000000003,3.9135
0.7022,-0.0664,0.6952,0.0,-0.0686,0.5375,0.7616,0.6061
0.8579,0.4278,4.0337000000000005,0.3094,-0.6015,4.1955,4.461500000000001,4.797
0.8608,-0.2544,-0.7269,0.1606,-0.2957,-0.8165,0.9813,1.1122
0.7968000000000001,0.1426,0.6455000000000001,0.0946,0.1402,0.4552,0.7881,0.5953999999999999
0.6485000000000001,3.2402,-4.3761,0.1618,2.7912000000000003,-3.9403,7.616300000000001,6.7315000000000005
0.7197,-0.4348,-0.2906,0.0175,-0.4373,-0.4809,0.7254,0.9182
0.4765,0.9599,4.1246,-0.0788,-0.0549,4.3997,5.0845,4.4546
0.6331,-2.1824,-3.1973000000000003,0.0778,-3.1972,-2.9222,5.3797,6.119400000000001
